rule_num,rule_count,AUC,precision_curve,MAP
RC00024,15,0.804444,1-1.0;2-1.0;4-1.0;8-1.0;16-0.6875,0.383102
RC02895,19,0.501385,1-0.0;2-0.0;4-0.0;8-0.375;16-0.6875;32-0.53125,0.286943
RC00088,12,0.656250,1-1.0;2-1.0;4-0.5;8-0.75;16-0.6875,0.408333
RC00581,18,0.595679,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5;32-0.53125,0.391228
RC00128,21,0.702948,1-1.0;2-1.0;4-1.0;8-0.5;16-0.6875;32-0.59375,0.474743
RC03222,4,1.000000,1-1.0;2-1.0;4-1.0,0.333333
RC02813,8,0.625000,1-1.0;2-1.0;4-1.0;8-0.75,0.661905
RC02814,16,0.417969,1-1.0;2-0.5;4-0.5;8-0.375;16-0.375;32-0.5,0.393897
RC00885,5,0.240000,1-0.0;2-0.0;4-0.25;8-0.5,0.333333
RC02795,10,0.890000,1-0.0;2-0.5;4-0.75;8-0.875;16-0.625,0.470833
RC02821,16,0.659375,1-1.0;2-1.0;4-1.0;8-0.75;16-0.625,0.422197
RC00102,20,0.675000,1-1.0;2-0.5;4-0.25;8-0.375;16-0.6875;32-0.5625,0.393364
RC00289,14,1.000000,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875,0.500000
RC00152,22,0.413223,1-0.0;2-0.5;4-0.75;8-0.5;16-0.5625;32-0.40625,0.404252
RC02726,20,0.127500,1-0.0;2-0.0;4-0.0;8-0.125;16-0.125;32-0.375,0.246897
RC00084,13,0.902367,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125,0.523810
RC01624,11,0.768595,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5625,0.663690
RC00180,19,0.972299,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.59375,0.466477
RC02079,4,0.656250,1-1.0;2-0.5;4-0.75;8-0.5,0.500000
RC03095,8,0.767857,1-1.0;2-1.0;4-1.0;8-0.75,0.306250
RC03522,18,0.486111,1-0.0;2-0.0;4-0.5;8-0.5;16-0.625;32-0.5625,0.327282
RC02084,4,0.812500,1-1.0;2-1.0;4-0.75;8-0.5,0.500000
RC00741,10,0.855000,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5625,0.485417
RC00160,16,0.810547,1-0.0;2-0.5;4-0.75;8-0.875;16-0.6875;32-0.5,0.511667
RC01427,14,0.538265,1-1.0;2-1.0;4-0.75;8-0.625;16-0.4375,0.404861
RC03407,12,0.666667,1-1.0;2-1.0;4-0.75;8-0.75;16-0.75,0.351786
RC00589,5,0.960000,1-1.0;2-1.0;4-1.0;8-0.625,0.428571
RC00061,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00201,5,0.680000,1-1.0;2-0.5;4-0.5;8-0.625,0.500000
RC00204,21,0.489796,1-1.0;2-1.0;4-1.0;8-1.0;16-0.5625;32-0.375,0.334127
RC00870,6,0.708333,1-1.0;2-1.0;4-0.75;8-0.625,0.500000
RC00231,20,0.790000,1-1.0;2-1.0;4-1.0;8-0.875;16-0.75;32-0.59375,0.576087
RC00323,15,0.873333,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125,0.475309
RC02561,6,0.916667,1-1.0;2-1.0;4-0.75;8-0.75,0.458333
RC00115,17,0.570934,1-1.0;2-1.0;4-1.0;8-1.0;16-0.5625;32-0.5,0.382197
RC03079,8,0.714286,1-1.0;2-1.0;4-0.75;8-0.75,0.281944
RC02542,16,0.444712,1-1.0;2-0.5;4-0.5;8-0.5;16-0.5,0.292665
RC02360,8,0.612500,1-1.0;2-1.0;4-0.75;8-0.75,0.268056
RC02265,15,0.326667,1-0.0;2-0.5;4-0.25;8-0.5;16-0.3125,0.253108
RC02741,16,0.843750,1-1.0;2-1.0;4-1.0;8-1.0;16-0.875,0.481818
RC00159,24,0.373264,1-0.0;2-0.5;4-0.5;8-0.75;16-0.375;32-0.40625,0.441071
RC02313,14,0.795918,1-1.0;2-1.0;4-1.0;8-0.875;16-0.75,0.449824
RC02823,12,0.597222,1-0.0;2-0.5;4-0.75;8-0.625;16-0.5,0.331966
RC00476,20,0.851250,1-1.0;2-1.0;4-1.0;8-1.0;16-0.8125;32-0.59375,0.428000
RC00506,22,0.580579,1-1.0;2-1.0;4-1.0;8-1.0;16-0.6875;32-0.5,0.390301
RC00389,21,0.503401,1-0.0;2-0.0;4-0.5;8-0.5;16-0.6875;32-0.4375,0.326096
RC01349,20,0.622500,1-1.0;2-1.0;4-1.0;8-1.0;16-0.5625;32-0.5,0.374008
RC00151,15,0.613333,1-1.0;2-1.0;4-0.75;8-0.625;16-0.6875,0.456076
RC01827,17,0.312500,1-0.0;2-0.0;4-0.0;8-0.5;16-0.4375;32-0.5,0.219912
RC00177,12,0.600694,1-1.0;2-1.0;4-1.0;8-0.75;16-0.4375,0.282067
RC00569,17,0.538062,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5625;32-0.46875,0.388095
RC00769,12,0.795139,1-1.0;2-1.0;4-1.0;8-0.75;16-0.625,0.459150
RC01012,18,0.415123,1-0.0;2-0.0;4-0.0;8-0.5;16-0.5;32-0.5,0.379850
RC01198,22,0.643595,1-0.0;2-0.0;4-0.5;8-0.75;16-0.5625;32-0.5625,0.340057
RC00358,18,0.442901,1-1.0;2-1.0;4-1.0;8-0.75;16-0.5;32-0.46875,0.308516
RC00040,22,0.519628,1-0.0;2-0.0;4-0.25;8-0.5;16-0.5625;32-0.5,0.415164
RC00302,16,0.937500,1-1.0;2-1.0;4-1.0;8-1.0;16-0.9375;32-0.5,0.483871
RC01991,6,0.791667,1-1.0;2-1.0;4-0.75;8-0.75,0.545455
RC00329,20,0.536250,1-1.0;2-1.0;4-0.75;8-0.875;16-0.625;32-0.46875,0.372798
RC01301,18,0.421296,1-1.0;2-1.0;4-0.75;8-0.75;16-0.375;32-0.4375,0.290769
RC00904,5,0.820000,1-1.0;2-1.0;4-1.0;8-0.625,0.444444
RC00936,18,0.550926,1-0.0;2-0.5;4-0.5;8-0.625;16-0.5625;32-0.5,0.350463
RC00247,15,0.671111,1-1.0;2-1.0;4-1.0;8-0.875;16-0.5625,0.529412
RC00071,8,0.000000,1-0.0;2-0.5;4-0.75;8-0.875,0.333333
RC02725,16,0.634766,1-1.0;2-1.0;4-0.75;8-0.625;16-0.625;32-0.5,0.464316
RC01620,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01498,2,1.000000,1-1.0;2-1.0,0.333333
RC00558,2,1.000000,1-1.0;2-1.0,0.333333
RC00400,2,1.000000,1-1.0;2-1.0,0.333333
RC02677,2,1.000000,1-1.0;2-1.0,0.666667
RC02260,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01159,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01408,2,1.000000,1-1.0;2-1.0,0.333333
RC02337,2,1.000000,1-1.0;2-1.0,0.333333
RC02208,2,0.000000,1-0.0;2-0.5,0.333333
RC00695,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03410,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02865,2,1.000000,1-1.0;2-1.0,0.666667
RC01932,2,1.000000,1-1.0;2-1.0,0.333333
RC02221,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02477,2,1.000000,1-1.0;2-1.0,0.333333
RC00352,2,1.000000,1-1.0;2-1.0,0.666667
RC03414,2,1.000000,1-1.0;2-1.0,0.333333
RC00599,2,0.500000,1-1.0;2-0.5,0.333333
RC00142,2,1.000000,1-1.0;2-1.0,0.666667
RC02940,2,1.000000,1-1.0;2-1.0,0.333333
RC00976,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC02843,2,1.000000,1-1.0;2-1.0,0.666667
RC02002,2,0.750000,1-1.0;2-1.0,0.666667
RC03516,2,0.500000,1-1.0;2-0.5,0.333333
RC01225,2,1.000000,1-1.0;2-1.0,0.333333
RC02003,2,1.000000,1-1.0;2-1.0,0.333333
RC02499,2,1.000000,1-1.0;2-1.0,0.333333
RC01134,2,1.000000,1-1.0;2-1.0,0.333333
RC03102,2,1.000000,1-1.0;2-1.0,0.333333
RC01929,2,1.000000,1-1.0;2-1.0,0.333333
RC02700,2,1.000000,1-1.0;2-1.0,0.333333
RC00549,2,1.000000,1-1.0;2-1.0,0.333333
RC02959,2,0.500000,1-1.0;2-0.5,0.333333
RC02031,2,0.875000,1-1.0;2-1.0;4-0.5,0.500000
RC01048,2,1.000000,1-1.0;2-1.0,0.666667
RC02768,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02679,2,1.000000,1-1.0;2-1.0,0.333333
RC00689,2,1.000000,1-1.0;2-1.0,0.333333
RC03316,2,1.000000,1-1.0;2-1.0,0.333333
RC01285,2,0.500000,1-1.0;2-0.5,0.333333
RC02165,2,1.000000,1-1.0;2-1.0,0.333333
RC01914,2,1.000000,1-1.0;2-1.0,0.333333
RC03415,2,1.000000,1-1.0;2-1.0,0.333333
RC01597,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00198,2,1.000000,1-1.0;2-1.0,0.333333
RC02356,2,1.000000,1-1.0;2-1.0,0.666667
RC02944,2,1.000000,1-1.0;2-1.0,0.333333
RC02484,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01819,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02463,2,0.625000,1-1.0;2-0.5;4-0.5,0.500000
RC03398,2,0.750000,1-1.0;2-0.5;4-0.5,0.375000
RC01841,2,0.500000,1-1.0;2-0.5,0.333333
RC02193,2,0.000000,1-0.0;2-0.5,0.333333
RC01362,2,0.500000,1-0.0;2-0.5;4-0.5,0.250000
RC01127,2,1.000000,1-1.0;2-1.0,0.333333
RC02775,2,1.000000,1-1.0;2-1.0,0.333333
RC01361,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03205,2,1.000000,1-1.0;2-1.0,0.333333
RC03431,2,1.000000,1-1.0;2-1.0,0.666667
RC02767,2,1.000000,1-1.0;2-1.0,0.333333
RC00445,2,1.000000,1-1.0;2-1.0,0.333333
RC03271,2,1.000000,1-1.0;2-1.0,0.333333
RC00407,2,1.000000,1-1.0;2-1.0,0.666667
RC03188,2,1.000000,1-1.0;2-1.0,0.333333
RC00600,2,1.000000,1-1.0;2-1.0,0.333333
RC03318,2,1.000000,1-1.0;2-1.0,0.333333
RC01219,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC00785,2,0.750000,1-1.0;2-0.5;4-0.5,0.375000
RC03486,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03450,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02162,2,0.000000,1-0.0;2-0.5,0.333333
RC02457,2,1.000000,1-1.0;2-1.0,0.333333
RC03352,2,0.750000,1-1.0;2-1.0,0.333333
RC02536,2,1.000000,1-1.0;2-1.0,0.333333
RC02344,2,1.000000,1-1.0;2-1.0,0.666667
RC02857,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01548,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00656,2,0.500000,1-1.0;2-0.5,0.333333
RC01833,2,1.000000,1-1.0;2-1.0,0.333333
RC03208,2,1.000000,1-1.0;2-1.0,0.333333
RC02699,2,1.000000,1-1.0;2-1.0,0.333333
RC01689,2,1.000000,1-1.0;2-1.0,0.333333
RC02787,2,1.000000,1-1.0;2-1.0,0.333333
RC01288,2,1.000000,1-1.0;2-1.0,0.333333
RC01364,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC02392,2,1.000000,1-1.0;2-1.0,0.666667
RC02760,2,1.000000,1-1.0;2-1.0,0.333333
RC02472,2,1.000000,1-1.0;2-1.0,0.333333
RC02323,2,0.000000,1-0.0;2-0.5,0.333333
RC01639,2,0.500000,1-1.0;2-1.0;4-0.5,0.500000
RC01139,2,0.000000,1-0.0;2-0.5,0.333333
RC02781,2,1.000000,1-1.0;2-1.0,0.333333
RC03011,2,0.750000,1-1.0;2-1.0,0.333333
RC02982,2,0.000000,1-0.0;2-0.5,0.333333
RC00758,2,0.000000,1-0.0;2-0.5,0.333333
RC00398,2,1.000000,1-1.0;2-1.0,0.333333
RC02550,2,0.000000,1-0.0;2-0.5,0.333333
RC03107,2,0.500000,1-1.0;2-0.5,0.333333
RC02989,2,0.500000,1-1.0;2-0.5,0.333333
RC01412,2,1.000000,1-1.0;2-1.0,0.666667
RC02526,2,0.000000,1-0.0;2-0.5,0.333333
RC00591,2,1.000000,1-1.0;2-1.0,0.666667
