rule_num,rule_count,AUC,precision_curve,MAP
RC01499,2,0.250000,1-0.0;2-0.5;4-0.5,0.375000
RC01606,2,0.000000,1-0.0;2-0.5,0.333333
RC03334,2,1.000000,1-1.0;2-1.0,0.333333
RC01775,2,0.500000,1-1.0;2-0.5,0.333333
RC03010,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02990,2,1.000000,1-1.0;2-1.0,0.333333
RC01946,2,1.000000,1-1.0;2-1.0,0.333333
RC01140,2,0.750000,1-1.0;2-0.5;4-0.5,0.500000
RC03496,2,0.500000,1-1.0;2-1.0;4-0.5,0.500000
RC03434,2,1.000000,1-1.0;2-1.0,0.666667
RC02435,2,1.000000,1-1.0;2-1.0,0.333333
RC02056,2,1.000000,1-1.0;2-1.0,0.333333
RC03105,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03163,2,1.000000,1-1.0;2-1.0,0.333333
RC00327,2,0.500000,1-1.0;2-0.5,0.333333
RC01503,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC03287,2,0.000000,1-0.0;2-0.5,0.333333
RC02811,2,1.000000,1-1.0;2-1.0,0.333333
RC00619,2,1.000000,1-1.0;2-1.0,0.333333
RC01138,2,1.000000,1-1.0;2-1.0,0.333333
RC03111,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00979,2,1.000000,1-1.0;2-1.0,0.333333
RC02991,2,1.000000,1-1.0;2-1.0,0.333333
RC00672,2,0.000000,1-0.0;2-0.5,0.333333
RC03432,2,1.000000,1-1.0;2-1.0,0.333333
RC01497,2,1.000000,1-1.0;2-1.0,0.333333
RC01723,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC00900,2,1.000000,1-1.0;2-1.0,0.333333
RC01018,2,0.000000,1-0.0;2-0.5,0.333333
RC03425,2,0.500000,1-1.0;2-0.5,0.333333
RC00763,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02447,2,1.000000,1-1.0;2-1.0,0.333333
RC01238,2,0.500000,1-1.0;2-0.5,0.333333
RC02284,2,0.000000,1-0.0;2-0.5,0.333333
RC02122,2,0.500000,1-1.0;2-0.5,0.333333
RC02334,2,1.000000,1-1.0;2-1.0,0.333333
RC01906,2,1.000000,1-1.0;2-1.0,0.333333
RC00585,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC01567,2,1.000000,1-1.0;2-1.0,0.333333
RC03487,2,0.500000,1-1.0;2-1.0;4-0.5,0.500000
RC01854,2,1.000000,1-1.0;2-1.0,0.333333
RC01400,2,1.000000,1-1.0;2-1.0,0.333333
RC00377,2,0.000000,1-0.0;2-0.5,0.333333
RC00849,2,1.000000,1-1.0;2-1.0,0.333333
RC01384,2,1.000000,1-1.0;2-1.0,0.333333
RC02591,2,1.000000,1-1.0;2-1.0,0.333333
RC02740,2,1.000000,1-1.0;2-1.0,0.333333
RC01277,2,1.000000,1-1.0;2-1.0,0.666667
RC00782,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03313,2,1.000000,1-1.0;2-1.0,0.333333
RC01635,2,1.000000,1-1.0;2-1.0,0.333333
RC01062,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03207,2,1.000000,1-1.0;2-1.0,0.333333
RC01703,2,1.000000,1-1.0;2-1.0,0.333333
RC00842,2,1.000000,1-1.0;2-1.0,0.666667
RC00823,2,0.000000,1-0.0;2-0.5,0.333333
RC02778,2,1.000000,1-1.0;2-1.0,0.333333
RC01799,2,1.000000,1-1.0;2-1.0,0.333333
RC02448,2,1.000000,1-1.0;2-1.0,0.333333
RC00419,2,1.000000,1-1.0;2-1.0,0.333333
RC00908,2,1.000000,1-1.0;2-1.0,0.333333
RC01109,2,0.000000,1-0.0;2-0.5,0.333333
RC02255,2,1.000000,1-1.0;2-1.0,0.666667
RC01604,2,0.500000,1-1.0;2-0.5;4-0.5,0.375000
RC02784,2,1.000000,1-1.0;2-1.0,0.333333
RC00551,2,1.000000,1-1.0;2-1.0,0.333333
RC02129,2,1.000000,1-1.0;2-1.0,0.333333
RC01120,2,0.250000,1-0.0;2-0.5;4-0.5,0.250000
RC01892,2,0.500000,1-1.0;2-0.5;4-0.5,0.500000
RC02395,2,1.000000,1-1.0;2-1.0,0.333333
RC00786,2,0.500000,1-1.0;2-0.5,0.333333
RC02530,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC01731,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01439,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01117,2,1.000000,1-1.0;2-1.0,0.333333
RC01908,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01230,2,1.000000,1-1.0;2-1.0,0.333333
RC00683,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02822,2,1.000000,1-1.0;2-1.0,0.666667
RC01106,2,1.000000,1-1.0;2-1.0,0.333333
RC02827,2,1.000000,1-1.0;2-1.0,0.333333
RC01369,2,0.500000,1-0.0;2-0.5;4-0.5,0.375000
RC00809,2,0.500000,1-1.0;2-0.5,0.333333
RC03301,2,1.000000,1-1.0;2-1.0,0.333333
RC01379,2,0.500000,1-0.0;2-0.5;4-0.5,0.250000
RC02589,2,1.000000,1-1.0;2-1.0,0.333333
RC02005,2,1.000000,1-1.0;2-1.0,0.333333
RC00594,2,1.000000,1-1.0;2-1.0,0.333333
RC02954,2,1.000000,1-1.0;2-1.0,0.666667
RC03160,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00914,2,1.000000,1-1.0;2-1.0,0.333333
RC02465,2,0.750000,1-1.0;2-1.0,0.333333
RC02230,2,0.500000,1-1.0;2-0.5,0.333333
RC02889,2,0.500000,1-1.0;2-0.5,0.333333
RC01458,2,0.500000,1-1.0;2-0.5,0.333333
RC01289,2,1.000000,1-1.0;2-1.0,0.333333
RC01671,2,0.000000,1-0.0;2-0.5,0.333333
RC01886,2,0.500000,1-1.0;2-0.5;4-0.5,0.333333
RC01852,2,1.000000,1-1.0;2-1.0,0.666667
RC00284,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01207,2,1.000000,1-1.0;2-1.0,0.333333
RC02107,2,0.500000,1-1.0;2-0.5,0.333333
RC02215,2,0.875000,1-1.0;2-1.0;4-0.5,0.500000
RC03263,2,1.000000,1-1.0;2-1.0,0.333333
RC01413,2,0.000000,1-0.0;2-0.5,0.333333
RC02004,2,1.000000,1-1.0;2-1.0,0.333333
RC02311,2,1.000000,1-1.0;2-1.0,0.333333
RC02385,2,1.000000,1-1.0;2-1.0,0.333333
RC03465,2,1.000000,1-1.0;2-1.0,0.333333
RC02345,2,0.500000,1-1.0;2-1.0;4-0.5,0.500000
RC02650,2,0.750000,1-1.0;2-1.0,0.333333
RC01594,2,0.500000,1-1.0;2-0.5,0.333333
RC02601,2,1.000000,1-1.0;2-1.0,0.333333
RC01124,2,1.000000,1-1.0;2-1.0,0.333333
RC01432,2,0.750000,1-1.0;2-0.5;4-0.5,0.500000
RC02342,2,0.500000,1-1.0;2-0.5,0.333333
RC01739,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02576,2,1.000000,1-1.0;2-1.0,0.333333
RC01081,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC02599,2,1.000000,1-1.0;2-1.0,0.333333
RC03351,2,0.750000,1-1.0;2-1.0,0.333333
RC00393,2,1.000000,1-1.0;2-1.0,0.333333
RC03106,2,1.000000,1-1.0;2-1.0,0.333333
RC00586,2,1.000000,1-1.0;2-1.0,0.333333
RC01280,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02217,2,0.000000,1-0.0;2-0.5,0.333333
RC02655,2,1.000000,1-1.0;2-1.0,0.333333
RC01510,2,0.000000,1-0.0;2-0.5,0.333333
RC00172,2,1.000000,1-1.0;2-1.0,0.666667
RC00765,2,0.500000,1-0.0;2-0.5;4-0.5,0.375000
RC00313,2,0.500000,1-1.0;2-0.5,0.333333
RC02187,2,1.000000,1-1.0;2-1.0,0.333333
RC02103,2,0.500000,1-0.0;2-0.5;4-0.5,0.250000
RC02988,2,0.000000,1-0.0;2-0.5,0.333333
RC02023,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC00580,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01115,2,1.000000,1-1.0;2-1.0,0.333333
RC02184,2,1.000000,1-1.0;2-1.0,0.333333
RC01043,2,1.000000,1-1.0;2-1.0,0.666667
RC01810,2,0.500000,1-1.0;2-0.5,0.333333
RC02528,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02656,2,1.000000,1-1.0;2-1.0,0.333333
RC01084,2,1.000000,1-1.0;2-1.0,0.333333
RC03048,2,1.000000,1-1.0;2-1.0,0.333333
RC02497,2,1.000000,1-1.0;2-1.0,0.333333
RC01354,2,1.000000,1-1.0;2-1.0,0.333333
RC02490,2,0.500000,1-1.0;2-0.5,0.333333
RC00320,2,1.000000,1-1.0;2-1.0,0.666667
RC01962,2,1.000000,1-1.0;2-1.0,0.666667
RC03088,2,0.500000,1-1.0;2-1.0;4-0.5,0.500000
RC02227,2,1.000000,1-1.0;2-1.0,0.333333
RC01290,2,0.500000,1-1.0;2-0.5,0.333333
RC00620,2,1.000000,1-1.0;2-1.0,0.333333
RC01590,2,1.000000,1-1.0;2-1.0,0.666667
RC03240,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC02581,2,1.000000,1-1.0;2-1.0,0.333333
RC00479,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00899,2,1.000000,1-1.0;2-1.0,0.333333
RC02882,2,0.500000,1-1.0;2-0.5,0.500000
RC03478,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03361,2,1.000000,1-1.0;2-1.0,0.333333
RC01629,2,0.500000,1-0.0;2-0.5;4-0.5,0.375000
RC02698,2,1.000000,1-1.0;2-1.0,0.333333
RC00922,2,0.500000,1-1.0;2-1.0;4-0.5,0.500000
RC02806,2,1.000000,1-1.0;2-1.0,0.333333
RC03161,2,0.625000,1-1.0;2-0.5;4-0.5,0.500000
RC00681,2,0.500000,1-1.0;2-0.5,0.333333
RC01625,2,1.000000,1-1.0;2-1.0,0.666667
RC03101,2,1.000000,1-1.0;2-1.0,0.333333
RC01457,2,0.500000,1-1.0;2-0.5,0.333333
RC02019,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01045,2,1.000000,1-1.0;2-1.0,0.666667
RC01409,2,0.500000,1-1.0;2-0.5,0.333333
RC03462,2,1.000000,1-1.0;2-1.0,0.666667
RC00345,2,0.500000,1-1.0;2-0.5,0.333333
RC03507,2,1.000000,1-1.0;2-1.0,0.666667
RC01382,2,0.000000,1-0.0;2-0.5,0.333333
RC02558,2,1.000000,1-1.0;2-1.0,0.333333
RC01496,2,1.000000,1-1.0;2-1.0,0.333333
RC02512,2,0.500000,1-0.0;2-0.5;4-0.5,0.250000
RC00370,2,1.000000,1-1.0;2-1.0,0.333333
RC01435,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC02782,2,1.000000,1-1.0;2-1.0,0.333333
RC02744,2,1.000000,1-1.0;2-1.0,0.333333
RC03202,2,0.000000,1-0.0;2-0.5,0.333333
RC03039,2,1.000000,1-1.0;2-1.0,0.666667
RC01539,2,1.000000,1-1.0;2-1.0,0.333333
RC01243,2,1.000000,1-1.0;2-1.0,0.333333
RC02788,2,1.000000,1-1.0;2-1.0,0.333333
RC01867,2,0.750000,1-1.0;2-1.0,0.666667
RC02008,2,0.500000,1-1.0;2-0.5,0.333333
RC02706,2,1.000000,1-1.0;2-1.0,0.333333
RC02246,2,0.500000,1-1.0;2-0.5,0.333333
RC00542,2,1.000000,1-1.0;2-1.0,0.333333
RC01812,2,1.000000,1-1.0;2-1.0,0.333333
RC03103,2,1.000000,1-1.0;2-1.0,0.333333
RC01577,2,1.000000,1-1.0;2-1.0,0.333333
RC03315,2,1.000000,1-1.0;2-1.0,0.666667
RC02697,2,1.000000,1-1.0;2-1.0,0.333333
RC01242,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01314,2,1.000000,1-1.0;2-1.0,0.333333
RC03480,2,0.500000,1-0.0;2-0.5;4-0.5,0.250000
RC00996,2,0.750000,1-1.0;2-0.5;4-0.5,0.375000
RC02535,2,1.000000,1-1.0;2-1.0,0.333333
RC03204,2,1.000000,1-1.0;2-1.0,0.333333
RC02786,2,1.000000,1-1.0;2-1.0,0.333333
RC03483,2,1.000000,1-1.0;2-1.0,0.333333
RC02994,2,1.000000,1-1.0;2-1.0,0.333333
RC00304,2,0.750000,1-1.0;2-0.5;4-0.5,0.500000
RC00901,2,1.000000,1-1.0;2-1.0,0.333333
RC00859,2,0.000000,1-0.0;2-0.5,0.333333
RC03359,2,1.000000,1-1.0;2-1.0,0.333333
RC03199,2,1.000000,1-1.0;2-1.0,0.333333
RC02992,2,1.000000,1-1.0;2-1.0,0.333333
RC02730,2,0.000000,1-0.0;2-0.5,0.333333
RC01475,2,1.000000,1-1.0;2-1.0,0.333333
RC02769,2,1.000000,1-1.0;2-1.0,0.333333
RC02317,2,1.000000,1-1.0;2-1.0,0.333333
RC00835,2,1.000000,1-1.0;2-1.0,0.333333
RC01832,2,1.000000,1-1.0;2-1.0,0.333333
RC02132,2,1.000000,1-1.0;2-1.0,0.333333
RC02585,2,1.000000,1-1.0;2-1.0,0.333333
RC02669,2,1.000000,1-1.0;2-1.0,0.333333
RC00837,2,0.000000,1-0.0;2-0.5,0.333333
RC02960,2,0.500000,1-1.0;2-0.5,0.333333
RC03076,2,0.000000,1-0.0;2-0.5,0.333333
RC00418,2,1.000000,1-1.0;2-1.0,0.333333
RC01177,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC03181,2,1.000000,1-1.0;2-1.0,0.333333
RC01805,2,1.000000,1-1.0;2-1.0,0.333333
RC02368,2,1.000000,1-1.0;2-1.0,0.333333
RC00867,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02583,2,1.000000,1-1.0;2-1.0,0.333333
RC01373,2,1.000000,1-1.0;2-1.0,0.333333
RC02703,2,1.000000,1-1.0;2-1.0,0.333333
RC03087,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC02437,2,1.000000,1-1.0;2-1.0,0.333333
RC02975,2,1.000000,1-1.0;2-1.0,0.666667
RC01921,2,1.000000,1-1.0;2-1.0,0.333333
RC00343,2,0.500000,1-1.0;2-0.5,0.333333
RC02095,2,0.250000,1-0.0;2-0.5;4-0.5,0.250000
RC01262,2,1.000000,1-1.0;2-1.0,0.666667
RC01695,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00679,2,1.000000,1-1.0;2-1.0,0.333333
RC02444,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02214,2,1.000000,1-1.0;2-1.0,0.666667
RC00910,2,1.000000,1-1.0;2-1.0,0.333333
RC00287,2,1.000000,1-1.0;2-1.0,0.333333
RC02783,2,1.000000,1-1.0;2-1.0,0.333333
RC02665,2,1.000000,1-1.0;2-1.0,0.333333
RC00688,2,1.000000,1-1.0;2-1.0,0.333333
RC03201,2,1.000000,1-1.0;2-1.0,0.333333
RC00751,2,1.000000,1-1.0;2-1.0,0.333333
RC03077,2,1.000000,1-1.0;2-1.0,0.666667
RC01378,2,0.500000,1-0.0;2-0.5;4-0.5,0.500000
RC00609,2,0.750000,1-1.0;2-1.0,0.333333
RC03054,2,1.000000,1-1.0;2-1.0,0.333333
RC00468,2,0.000000,1-0.0;2-0.5,0.333333
RC00507,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02939,2,1.000000,1-1.0;2-1.0,0.333333
RC00662,2,0.250000,1-0.0;2-0.5;4-0.5,0.208333
RC00608,2,0.000000,1-0.0;2-0.5,0.333333
RC00528,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01591,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00210,2,1.000000,1-1.0;2-1.0,0.666667
RC01161,2,1.000000,1-1.0;2-1.0,0.333333
RC00998,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02481,2,1.000000,1-1.0;2-1.0,0.333333
RC00380,2,1.000000,1-1.0;2-1.0,0.333333
RC00303,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01803,2,1.000000,1-1.0;2-1.0,0.333333
RC02837,2,0.000000,1-0.0;2-0.5,0.500000
RC00874,2,0.000000,1-0.0;2-0.5,0.333333
RC02756,2,1.000000,1-1.0;2-1.0,0.333333
RC00368,2,1.000000,1-1.0;2-1.0,0.333333
RC00471,2,0.500000,1-1.0;2-0.5,0.333333
RC02487,2,1.000000,1-1.0;2-1.0,0.333333
RC03006,2,1.000000,1-1.0;2-1.0,0.333333
RC01502,2,0.500000,1-1.0;2-1.0;4-0.5,0.500000
RC02229,2,0.500000,1-1.0;2-0.5,0.333333
RC03470,2,1.000000,1-1.0;2-1.0,0.333333
RC00652,2,1.000000,1-1.0;2-1.0,0.333333
RC00796,2,1.000000,1-1.0;2-1.0,0.333333
RC02137,2,0.500000,1-1.0;2-0.5,0.333333
RC03290,2,0.125000,1-0.0;2-0.5;4-0.5,0.208333
RC00634,2,1.000000,1-1.0;2-1.0,0.333333
RC00443,2,0.250000,1-0.0;2-0.5;4-0.5,0.250000
RC00894,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01938,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02413,2,1.000000,1-1.0;2-1.0,0.333333
RC00833,2,1.000000,1-1.0;2-1.0,0.333333
RC01441,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02559,2,0.500000,1-1.0;2-0.5,0.333333
RC00749,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC03086,2,1.000000,1-1.0;2-1.0,0.333333
RC03100,2,1.000000,1-1.0;2-1.0,0.333333
RC02531,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC01038,2,0.000000,1-0.0;2-0.5,0.333333
RC01389,2,1.000000,1-1.0;2-1.0,0.333333
RC03350,2,1.000000,1-1.0;2-1.0,0.333333
RC01547,2,1.000000,1-1.0;2-1.0,0.333333
RC03050,2,1.000000,1-1.0;2-1.0,0.333333
RC01093,2,0.250000,1-0.0;2-0.5;4-0.5,0.250000
RC00736,2,1.000000,1-1.0;2-1.0,0.333333
RC01776,2,1.000000,1-1.0;2-1.0,0.333333
RC02594,2,1.000000,1-1.0;2-1.0,0.333333
RC01220,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00288,2,0.250000,1-0.0;2-0.5;4-0.5,0.375000
RC02365,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC00762,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01969,2,0.000000,1-0.0;2-0.5,0.333333
RC01215,2,0.500000,1-0.0;2-0.5;4-0.5,0.250000
RC02097,2,0.500000,1-1.0;2-0.5,0.333333
RC03212,2,0.500000,1-1.0;2-0.5,0.333333
RC02302,2,1.000000,1-1.0;2-1.0,0.333333
RC01530,2,0.000000,1-0.0;2-0.5,0.333333
RC03216,2,1.000000,1-1.0;2-1.0,0.666667
RC01015,2,1.000000,1-1.0;2-1.0,0.333333
RC00701,2,1.000000,1-1.0;2-1.0,0.333333
RC02587,2,1.000000,1-1.0;2-1.0,0.333333
RC02135,2,0.500000,1-1.0;2-0.5;4-0.5,0.375000
RC00437,2,0.500000,1-1.0;2-0.5,0.333333
RC02791,2,1.000000,1-1.0;2-1.0,0.333333
